"technique","standard","special","technical","dramatic"
"quick-thrust","","","",""
"mesmerize","apid-venom,-southern-cross","quick-thrust,-apid-venom","",""
"lightspeed","quick-thrust","","quick-thrust","quick-thrust"
"matador","","quick-thrust","",""
"apid-venom","quick-thrust,-piercing-lightning","quick-thrust","",""
"crystalline-carve","","apid-venom","quick-thrust,-piercing-lightning","quick-thrust,-piercing-lightning"
"shocking-rush","","","quick-thrust,-crystalline-carve",""
"piercing-lightning","quick-thrust,-apid-venom","","shocking-rush","eulogy"
"golden-note","","crystalline-carve","",""
"eulogy","","","","crystalline-carve"
"southern-cross","piercing-lightning","","piercing-lightning","piercing-lightning"
